# schema=mevix.mev-1253.lock-pairs.v1
# candidate_commit=786f9ada1889afc92aa3f7d6fefcd0022eec4fa4
# candidate_tree=9c0276f17b64e0a3b021df16ca5985acf7695105
# lock_sha256=058e79648f2a43f0d328d453a987fdde5044d943af11ad4898801b379760a943
name	version	scope	direct
unist-util-is	6.0.1	prod	-
unist-util-position	5.0.0	prod	-
unist-util-remove-position	5.0.0	prod	-
unist-util-stringify-position	4.0.0	prod	-
unist-util-visit	5.1.0	prod	-
unist-util-visit-parents	6.0.2	prod	-
url	0.11.4	dev	-
use-callback-ref	1.3.3	prod	-
use-sidecar	1.1.3	prod	-
usehooks-ts	3.1.1	prod	-
util	0.10.4	dev	-
util	0.12.5	dev	-
vfile	6.0.3	prod	-
vfile-location	5.0.3	prod	-
vfile-message	4.0.3	prod	-
vite	8.3.0	dev	dev
web-namespaces	2.0.1	prod	-
which-typed-array	1.1.24	dev	-
zwitch	2.0.4	prod	-
